text,label
Heavy rainfall caused flooding in the city area 1,Flood
Forest fire spreading quickly through dry vegetation zone 1,Fire
Strong earthquake felt by residents event 1,Earthquake
Hill collapsed after continuous rain location 1,Landslide
The weather is pleasant today day 1,Non-Disaster
River water level is rising rapidly area 2,Flood
Smoke seen across the mountain region zone 2,Fire
Buildings shaking due to seismic activity event 2,Earthquake
Road blocked because of landslide location 2,Landslide
Students attended classes as usual day 2,Non-Disaster
Streets submerged after continuous rain area 3,Flood
Wildfire threatens nearby villages zone 3,Fire
Earth tremor reported in the region event 3,Earthquake
Large rocks fell from the hillside location 3,Landslide
The market was crowded in the evening day 3,Non-Disaster
Flash flood warning issued for the district area 4,Flood
Firefighters responding to a large fire incident zone 4,Fire
Moderate earthquake detected by sensors event 4,Earthquake
Landslide damaged several vehicles location 4,Landslide
People enjoyed the community festival day 4,Non-Disaster
Several houses affected by flood water area 5,Flood
Flames visible near the forest boundary zone 5,Fire
People evacuated after earthquake warning event 5,Earthquake
Slope failure reported near the highway location 5,Landslide
The new bridge opened for traffic day 5,Non-Disaster
Heavy rainfall caused flooding in the city area 6,Flood
Forest fire spreading quickly through dry vegetation zone 6,Fire
Strong earthquake felt by residents event 6,Earthquake
Hill collapsed after continuous rain location 6,Landslide
The weather is pleasant today day 6,Non-Disaster
River water level is rising rapidly area 7,Flood
Smoke seen across the mountain region zone 7,Fire
Buildings shaking due to seismic activity event 7,Earthquake
Road blocked because of landslide location 7,Landslide
Students attended classes as usual day 7,Non-Disaster
Streets submerged after continuous rain area 8,Flood
Wildfire threatens nearby villages zone 8,Fire
Earth tremor reported in the region event 8,Earthquake
Large rocks fell from the hillside location 8,Landslide
The market was crowded in the evening day 8,Non-Disaster
Flash flood warning issued for the district area 9,Flood
Firefighters responding to a large fire incident zone 9,Fire
Moderate earthquake detected by sensors event 9,Earthquake
Landslide damaged several vehicles location 9,Landslide
People enjoyed the community festival day 9,Non-Disaster
Several houses affected by flood water area 10,Flood
Flames visible near the forest boundary zone 10,Fire
People evacuated after earthquake warning event 10,Earthquake
Slope failure reported near the highway location 10,Landslide
The new bridge opened for traffic day 10,Non-Disaster
Heavy rainfall caused flooding in the city area 11,Flood
Forest fire spreading quickly through dry vegetation zone 11,Fire
Strong earthquake felt by residents event 11,Earthquake
Hill collapsed after continuous rain location 11,Landslide
The weather is pleasant today day 11,Non-Disaster
River water level is rising rapidly area 12,Flood
Smoke seen across the mountain region zone 12,Fire
Buildings shaking due to seismic activity event 12,Earthquake
Road blocked because of landslide location 12,Landslide
Students attended classes as usual day 12,Non-Disaster
Streets submerged after continuous rain area 13,Flood
Wildfire threatens nearby villages zone 13,Fire
Earth tremor reported in the region event 13,Earthquake
Large rocks fell from the hillside location 13,Landslide
The market was crowded in the evening day 13,Non-Disaster
Flash flood warning issued for the district area 14,Flood
Firefighters responding to a large fire incident zone 14,Fire
Moderate earthquake detected by sensors event 14,Earthquake
Landslide damaged several vehicles location 14,Landslide
People enjoyed the community festival day 14,Non-Disaster
Several houses affected by flood water area 15,Flood
Flames visible near the forest boundary zone 15,Fire
People evacuated after earthquake warning event 15,Earthquake
Slope failure reported near the highway location 15,Landslide
The new bridge opened for traffic day 15,Non-Disaster
Heavy rainfall caused flooding in the city area 16,Flood
Forest fire spreading quickly through dry vegetation zone 16,Fire
Strong earthquake felt by residents event 16,Earthquake
Hill collapsed after continuous rain location 16,Landslide
The weather is pleasant today day 16,Non-Disaster
River water level is rising rapidly area 17,Flood
Smoke seen across the mountain region zone 17,Fire
Buildings shaking due to seismic activity event 17,Earthquake
Road blocked because of landslide location 17,Landslide
Students attended classes as usual day 17,Non-Disaster
Streets submerged after continuous rain area 18,Flood
Wildfire threatens nearby villages zone 18,Fire
Earth tremor reported in the region event 18,Earthquake
Large rocks fell from the hillside location 18,Landslide
The market was crowded in the evening day 18,Non-Disaster
Flash flood warning issued for the district area 19,Flood
Firefighters responding to a large fire incident zone 19,Fire
Moderate earthquake detected by sensors event 19,Earthquake
Landslide damaged several vehicles location 19,Landslide
People enjoyed the community festival day 19,Non-Disaster
Several houses affected by flood water area 20,Flood
Flames visible near the forest boundary zone 20,Fire
People evacuated after earthquake warning event 20,Earthquake
Slope failure reported near the highway location 20,Landslide
The new bridge opened for traffic day 20,Non-Disaster
Heavy rainfall caused flooding in the city area 21,Flood
Forest fire spreading quickly through dry vegetation zone 21,Fire
Strong earthquake felt by residents event 21,Earthquake
Hill collapsed after continuous rain location 21,Landslide
The weather is pleasant today day 21,Non-Disaster
River water level is rising rapidly area 22,Flood
Smoke seen across the mountain region zone 22,Fire
Buildings shaking due to seismic activity event 22,Earthquake
Road blocked because of landslide location 22,Landslide
Students attended classes as usual day 22,Non-Disaster
Streets submerged after continuous rain area 23,Flood
Wildfire threatens nearby villages zone 23,Fire
Earth tremor reported in the region event 23,Earthquake
Large rocks fell from the hillside location 23,Landslide
The market was crowded in the evening day 23,Non-Disaster
Flash flood warning issued for the district area 24,Flood
Firefighters responding to a large fire incident zone 24,Fire
Moderate earthquake detected by sensors event 24,Earthquake
Landslide damaged several vehicles location 24,Landslide
People enjoyed the community festival day 24,Non-Disaster
